phase,block,schedule,slot,arm,occurrence,dispatches,status,completed,gpu_start_s,gpu_end_s,gpu_ms,kernel_ms,encode_ms,commit_wait_ms,wall_ms,result
measure,1,CEEC,3,C,2,344,4,1,427123.118559750,427123.134269792,15.710042,0.102250,0.259000,15.992000,16.251000,PASS
measure,2,ECCE,0,E,1,344,4,1,427123.134845792,427123.154267500,19.421708,0.101167,0.284000,19.687000,19.971000,PASS
measure,2,ECCE,1,C,1,344,4,1,427123.154815500,427123.170544292,15.728792,0.098125,0.256000,16.012000,16.268000,PASS
measure,2,ECCE,2,C,2,344,4,1,427123.171132375,427123.187075500,15.943125,0.138125,0.257000,16.238000,16.495000,PASS
measure,2,ECCE,3,E,2,344,4,1,427123.187666875,427123.206842875,19.176000,0.104167,0.286000,19.478000,19.764000,PASS
measure,3,CEEC,0,C,1,344,4,1,427123.207392167,427123.223408792,16.016625,0.103417,0.256000,16.286000,16.542000,PASS
measure,3,CEEC,1,E,1,344,4,1,427123.223964250,427123.243142000,19.177750,0.081542,0.282000,19.439000,19.721000,PASS
measure,3,CEEC,2,E,2,344,4,1,427123.243758292,427123.263182125,19.423833,0.135250,0.283000,19.735000,20.018000,PASS
measure,3,CEEC,3,C,2,344,4,1,427123.263713500,427123.279475250,15.761750,0.099250,0.256000,16.015000,16.271000,PASS
measure,4,ECCE,0,E,1,344,4,1,427123.280113792,427123.299800000,19.686208,0.126000,0.311000,19.980000,20.291000,PASS
measure,4,ECCE,1,C,1,344,4,1,427123.300325792,427123.316070000,15.744208,0.107000,0.242000,16.032000,16.274000,PASS
measure,4,ECCE,2,C,2,344,4,1,427123.316670542,427123.332600500,15.929958,0.139958,0.256000,16.240000,16.496000,PASS
measure,4,ECCE,3,E,2,344,4,1,427123.333187292,427123.352356250,19.168958,0.103500,0.289000,19.452000,19.741000,PASS
measure,5,CEEC,0,C,1,344,4,1,427123.352914000,427123.368848250,15.934250,0.099375,0.258000,16.210000,16.468000,PASS
measure,5,CEEC,1,E,1,344,4,1,427123.369441917,427123.388651875,19.209958,0.102625,0.285000,19.483000,19.768000,PASS
measure,5,CEEC,2,E,2,344,4,1,427123.389235375,427123.408688125,19.452750,0.136125,0.259000,19.793000,20.052000,PASS
measure,5,CEEC,3,C,2,344,4,1,427123.409288417,427123.425024500,15.736083,0.105625,0.262000,16.030000,16.292000,PASS
measure,6,ECCE,0,E,1,344,4,1,427123.425596542,427123.444969417,19.372875,0.103333,0.267000,19.651000,19.918000,PASS
measure,6,ECCE,1,C,1,344,4,1,427123.445522250,427123.461347792,15.825542,0.104958,0.256000,16.084000,16.340000,PASS
measure,6,ECCE,2,C,2,344,4,1,427123.461922125,427123.477816250,15.894125,0.140708,0.258000,16.198000,16.456000,PASS
measure,6,ECCE,3,E,2,344,4,1,427123.478369917,427123.497614500,19.244583,0.106708,0.260000,19.530000,19.790000,PASS
measure,7,CEEC,0,C,1,344,4,1,427123.498180542,427123.513878375,15.697833,0.101958,0.268000,15.950000,16.218000,PASS
measure,7,CEEC,1,E,1,344,4,1,427123.514423625,427123.533786000,19.362375,0.130625,0.250000,19.637000,19.887000,PASS
measure,7,CEEC,2,E,2,344,4,1,427123.534324000,427123.553592875,19.268875,0.137000,0.245000,19.576000,19.821000,PASS
measure,7,CEEC,3,C,2,344,4,1,427123.554141500,427123.570120250,15.978750,0.098125,0.260000,16.231000,16.491000,PASS
measure,8,ECCE,0,E,1,344,4,1,427123.570670000,427123.589793667,19.123667,0.111292,0.264000,19.396000,19.660000,PASS
measure,8,ECCE,1,C,1,344,4,1,427123.590312292,427123.606269875,15.957583,0.101250,0.232000,16.254000,16.486000,PASS
measure,8,ECCE,2,C,2,344,4,1,427123.606874625,427123.622593917,15.719292,0.139875,0.263000,16.043000,16.306000,PASS
measure,8,ECCE,3,E,2,344,4,1,427123.623187125,427123.642630125,19.443000,0.099250,0.286000,19.718000,20.004000,PASS
measure,9,CEEC,0,C,1,344,4,1,427123.643212375,427123.658931792,15.719417,0.109375,0.260000,16.032000,16.292000,PASS
measure,9,CEEC,1,E,1,344,4,1,427123.659575625,427123.678926375,19.350750,0.112083,0.292000,19.650000,19.942000,PASS
measure,9,CEEC,2,E,2,344,4,1,427123.679530875,427123.698629667,19.098792,0.140208,0.267000,19.420000,19.687000,PASS
measure,9,CEEC,3,C,2,344,4,1,427123.699186125,427123.715129500,15.943375,0.094375,0.260000,16.218000,16.478000,PASS
measure,10,ECCE,0,E,1,344,4,1,427123.715717500,427123.734839667,19.122167,0.102208,0.285000,19.406000,19.691000,PASS
measure,10,ECCE,1,C,1,344,4,1,427123.735371625,427123.751345250,15.973625,0.104167,0.236000,16.246000,16.482000,PASS
measure,10,ECCE,2,C,2,344,4,1,427123.751923000,427123.767675792,15.752792,0.137000,0.256000,16.060000,16.316000,PASS
measure,10,ECCE,3,E,2,344,4,1,427123.768259000,427123.787748625,19.489625,0.102875,0.282000,19.769000,20.051000,PASS
measure,11,CEEC,0,C,1,344,4,1,427123.788308500,427123.804041667,15.733167,0.101500,0.259000,15.995000,16.254000,PASS
measure,11,CEEC,1,E,1,344,4,1,427123.804541625,427123.823910792,19.369167,0.100000,0.235000,19.644000,19.879000,PASS
measure,11,CEEC,2,E,2,344,4,1,427123.824520792,427123.843670750,19.149958,0.137625,0.285000,19.455000,19.740000,PASS
measure,11,CEEC,3,C,2,344,4,1,427123.844220500,427123.860134417,15.913917,0.097917,0.258000,16.182000,16.440000,PASS
measure,12,ECCE,0,E,1,344,4,1,427123.860713500,427123.879984500,19.271000,0.102750,0.289000,19.529000,19.818000,PASS
measure,12,ECCE,1,C,1,344,4,1,427123.880490000,427123.896325625,15.835625,0.100125,0.235000,16.104000,16.339000,PASS
measure,12,ECCE,2,C,2,344,4,1,427123.896913625,427123.912633792,15.720167,0.138750,0.261000,16.007000,16.268000,PASS
measure,12,ECCE,3,E,2,344,4,1,427123.913128000,427123.932507792,19.379792,0.102958,0.237000,19.652000,19.889000,PASS
measure,13,CEEC,0,C,1,344,4,1,427123.933062542,427123.948779167,15.716625,0.100458,0.245000,16.040000,16.285000,PASS
measure,13,CEEC,1,E,1,344,4,1,427123.949393125,427123.968782125,19.389000,0.101542,0.262000,19.666000,19.928000,PASS
measure,13,CEEC,2,E,2,344,4,1,427123.969389917,427123.988797792,19.407875,0.137708,0.288000,19.706000,19.994000,PASS
measure,13,CEEC,3,C,2,344,4,1,427123.989336375,427124.005066792,15.730417,0.098375,0.264000,16.001000,16.265000,PASS
measure,14,ECCE,0,E,1,344,4,1,427124.005641875,427124.025054375,19.412500,0.102917,0.284000,19.679000,19.963000,PASS
measure,14,ECCE,1,C,1,344,4,1,427124.025583000,427124.041338125,15.755125,0.087625,0.259000,16.016000,16.275000,PASS
measure,14,ECCE,2,C,2,344,4,1,427124.041920500,427124.057867792,15.947292,0.135000,0.256000,16.244000,16.500000,PASS
measure,14,ECCE,3,E,2,344,4,1,427124.058430375,427124.077600917,19.170542,0.099167,0.284000,19.444000,19.728000,PASS
measure,15,CEEC,0,C,1,344,4,1,427124.078156625,427124.094104542,15.947917,0.101208,0.257000,16.193000,16.450000,PASS
measure,15,CEEC,1,E,1,344,4,1,427124.094633250,427124.113816000,19.182750,0.107958,0.261000,19.447000,19.708000,PASS
measure,15,CEEC,2,E,2,344,4,1,427124.114367250,427124.133774542,19.407292,0.139958,0.244000,19.720000,19.964000,PASS
measure,15,CEEC,3,C,2,344,4,1,427124.134324000,427124.150055792,15.731792,0.100875,0.260000,16.008000,16.268000,PASS
measure,16,ECCE,0,E,1,344,4,1,427124.150638375,427124.170069250,19.430875,0.102917,0.286000,19.707000,19.993000,PASS
measure,16,ECCE,1,C,1,344,4,1,427124.170622042,427124.186350667,15.728625,0.104250,0.259000,16.009000,16.268000,PASS
measure,16,ECCE,2,C,2,344,4,1,427124.186938125,427124.202910667,15.972542,0.137542,0.257000,16.281000,16.538000,PASS
measure,16,ECCE,3,E,2,344,4,1,427124.203484792,427124.222661375,19.176583,0.100500,0.287000,19.444000,19.731000,PASS
measure,17,CEEC,0,C,1,344,4,1,427124.223195042,427124.239148000,15.952958,0.100208,0.259000,16.217000,16.476000,PASS
measure,17,CEEC,1,E,1,344,4,1,427124.239809125,427124.258948250,19.139125,0.102083,0.285000,19.473000,19.758000,PASS
measure,17,CEEC,2,E,2,344,4,1,427124.259489625,427124.278879750,19.390125,0.140042,0.235000,19.714000,19.949000,PASS
measure,17,CEEC,3,C,2,344,4,1,427124.279435417,427124.295137250,15.701833,0.101208,0.255000,15.976000,16.231000,PASS
measure,18,ECCE,0,E,1,344,4,1,427124.295746042,427124.315159250,19.413208,0.099875,0.285000,19.720000,20.005000,PASS
measure,18,ECCE,1,C,1,344,4,1,427124.315707625,427124.331465250,15.757625,0.093917,0.257000,16.038000,16.295000,PASS
measure,18,ECCE,2,C,2,344,4,1,427124.332080625,427124.348106500,16.025875,0.133250,0.285000,16.331000,16.616000,PASS
measure,18,ECCE,3,E,2,344,4,1,427124.348674875,427124.367843667,19.168792,0.101000,0.285000,19.410000,19.695000,PASS
measure,19,CEEC,0,C,1,344,4,1,427124.368317250,427124.384276417,15.959167,0.099958,0.209000,16.237000,16.446000,PASS
measure,19,CEEC,1,E,1,344,4,1,427124.384847125,427124.404014875,19.167750,0.100375,0.285000,19.432000,19.717000,PASS
measure,19,CEEC,2,E,2,344,4,1,427124.404561750,427124.423925625,19.363875,0.128458,0.284000,19.612000,19.896000,PASS
measure,19,CEEC,3,C,2,344,4,1,427124.424468375,427124.440285625,15.817250,0.099875,0.253000,16.080000,16.333000,PASS
measure,20,ECCE,0,E,1,344,4,1,427124.440845167,427124.460109667,19.264500,0.100458,0.282000,19.534000,19.816000,PASS
measure,20,ECCE,1,C,1,344,4,1,427124.460660792,427124.476487042,15.826250,0.100292,0.257000,16.096000,16.353000,PASS
measure,20,ECCE,2,C,2,344,4,1,427124.477014250,427124.492827292,15.813042,0.135458,0.256000,16.084000,16.340000,PASS
measure,20,ECCE,3,E,2,344,4,1,427124.493405375,427124.512814500,19.409125,0.102125,0.280000,19.647000,19.927000,PASS
measure,21,CEEC,0,C,1,344,4,1,427124.513270625,427124.528992375,15.721750,0.102083,0.209000,15.992000,16.201000,PASS
measure,21,CEEC,1,E,1,344,4,1,427124.529562375,427124.548911375,19.349000,0.100000,0.282000,19.614000,19.896000,PASS
measure,21,CEEC,2,E,2,344,4,1,427124.549519625,427124.568684500,19.164875,0.137917,0.280000,19.484000,19.764000,PASS
measure,21,CEEC,3,C,2,344,4,1,427124.569235542,427124.585200250,15.964708,0.100375,0.248000,16.252000,16.500000,PASS
measure,22,ECCE,0,E,1,344,4,1,427124.585858000,427124.605118375,19.260375,0.103917,0.294000,19.592000,19.886000,PASS
measure,22,ECCE,1,C,1,344,4,1,427124.605682375,427124.621638875,15.956500,0.101625,0.261000,16.229000,16.490000,PASS
measure,22,ECCE,2,C,2,344,4,1,427124.622223542,427124.637957542,15.734000,0.136625,0.261000,16.044000,16.305000,PASS
measure,22,ECCE,3,E,2,344,4,1,427124.638534625,427124.657983667,19.449042,0.100250,0.286000,19.718000,20.004000,PASS
measure,23,CEEC,0,C,1,344,4,1,427124.658524375,427124.674274375,15.750000,0.101250,0.261000,16.002000,16.263000,PASS
measure,23,CEEC,1,E,1,344,4,1,427124.674807250,427124.694384542,19.577292,0.092125,0.258000,19.818000,20.076000,PASS
measure,23,CEEC,2,E,2,344,4,1,427124.694914625,427124.714253250,19.338625,0.120208,0.247000,19.643000,19.890000,PASS
measure,23,CEEC,3,C,2,344,4,1,427124.714821250,427124.730926000,16.104750,0.061708,0.249000,16.379000,16.628000,PASS
measure,24,ECCE,0,E,1,344,4,1,427124.731484000,427124.750745625,19.261625,0.057458,0.286000,19.549000,19.835000,PASS
measure,24,ECCE,1,C,1,344,4,1,427124.751310125,427124.767251542,15.941417,0.061208,0.247000,16.163000,16.410000,PASS
measure,24,ECCE,2,C,2,344,4,1,427124.767641667,427124.783376625,15.734958,0.030000,0.222000,15.890000,16.112000,PASS
measure,24,ECCE,3,E,2,344,4,1,427124.783816375,427124.803241000,19.424625,0.041333,0.254000,19.621000,19.875000,PASS
measure,25,CEEC,0,C,1,344,4,1,427124.803679917,427124.819384625,15.704708,0.026875,0.238000,15.887000,16.125000,PASS
measure,25,CEEC,1,E,1,344,4,1,427124.819847875,427124.839204792,19.356917,0.026083,0.262000,19.488000,19.750000,PASS
measure,25,CEEC,2,E,2,344,4,1,427124.839614917,427124.858762500,19.147583,0.029875,0.252000,19.349000,19.601000,PASS
measure,25,CEEC,3,C,2,344,4,1,427124.859254125,427124.875093750,15.839625,0.091250,0.240000,16.032000,16.272000,PASS
measure,26,ECCE,0,E,1,344,4,1,427124.875700042,427124.894962750,19.262708,0.112625,0.283000,19.574000,19.857000,PASS
measure,26,ECCE,1,C,1,344,4,1,427124.895436500,427124.911185000,15.748500,0.098333,0.253000,15.956000,16.209000,PASS
measure,26,ECCE,2,C,2,344,4,1,427124.911774292,427124.927595417,15.821125,0.139417,0.255000,16.137000,16.392000,PASS
measure,26,ECCE,3,E,2,344,4,1,427124.928167875,427124.947509750,19.341875,0.097792,0.283000,19.613000,19.896000,PASS
measure,27,CEEC,0,C,1,344,4,1,427124.948157375,427124.963979500,15.822125,0.103500,0.256000,16.188000,16.444000,PASS
measure,27,CEEC,1,E,1,344,4,1,427124.964545292,427124.983792917,19.247625,0.103375,0.281000,19.526000,19.807000,PASS
measure,27,CEEC,2,E,2,344,4,1,427124.984411625,427125.003802000,19.390375,0.135125,0.284000,19.695000,19.979000,PASS
measure,27,CEEC,3,C,2,344,4,1,427125.004340667,427125.020029917,15.689250,0.100750,0.256000,15.969000,16.225000,PASS
measure,28,ECCE,0,E,1,344,4,1,427125.020610750,427125.039996625,19.385875,0.101667,0.278000,19.662000,19.940000,PASS
measure,28,ECCE,1,C,1,344,4,1,427125.040537875,427125.056231750,15.693875,0.102375,0.252000,15.971000,16.223000,PASS
measure,28,ECCE,2,C,2,344,4,1,427125.056821250,427125.072731875,15.910625,0.137042,0.254000,16.218000,16.472000,PASS
measure,28,ECCE,3,E,2,344,4,1,427125.073296417,427125.092418292,19.121875,0.103167,0.280000,19.405000,19.685000,PASS
measure,29,CEEC,0,C,1,344,4,1,427125.092973625,427125.108931625,15.958000,0.102750,0.252000,16.238000,16.490000,PASS
measure,29,CEEC,1,E,1,344,4,1,427125.109508667,427125.128734000,19.225333,0.103333,0.277000,19.515000,19.792000,PASS
measure,29,CEEC,2,E,2,344,4,1,427125.129337625,427125.148819292,19.481667,0.122250,0.279000,19.770000,20.049000,PASS
measure,29,CEEC,3,C,2,344,4,1,427125.149348500,427125.165071875,15.723375,0.101542,0.252000,16.006000,16.258000,PASS
measure,30,ECCE,0,E,1,344,4,1,427125.165666375,427125.185064167,19.397792,0.103625,0.280000,19.686000,19.966000,PASS
measure,30,ECCE,1,C,1,344,4,1,427125.185613542,427125.201449792,15.836250,0.095500,0.253000,16.123000,16.376000,PASS
measure,30,ECCE,2,C,2,344,4,1,427125.202021917,427125.217872792,15.850875,0.109500,0.242000,16.126000,16.368000,PASS
measure,30,ECCE,3,E,2,344,4,1,427125.218348167,427125.237984375,19.636208,0.058000,0.260000,19.839000,20.099000,PASS
measure,31,CEEC,0,C,1,344,4,1,427125.238521667,427125.254379042,15.857375,0.072000,0.251000,16.097000,16.348000,PASS
measure,31,CEEC,1,E,1,344,4,1,427125.254919500,427125.274312542,19.393042,0.064750,0.288000,19.617000,19.905000,PASS
measure,31,CEEC,2,E,2,344,4,1,427125.274867042,427125.294435042,19.568000,0.081667,0.283000,19.813000,20.096000,PASS
measure,31,CEEC,3,C,2,344,4,1,427125.294965167,427125.311024500,16.059333,0.071000,0.248000,16.309000,16.557000,PASS
measure,32,ECCE,0,E,1,344,4,1,427125.311539625,427125.331084625,19.545000,0.074042,0.275000,19.772000,20.047000,PASS
measure,32,ECCE,1,C,1,344,4,1,427125.331595875,427125.347505250,15.909375,0.091083,0.241000,16.141000,16.382000,PASS
measure,32,ECCE,2,C,2,344,4,1,427125.347983250,427125.363891000,15.907750,0.079292,0.235000,16.153000,16.388000,PASS
measure,32,ECCE,3,E,2,344,4,1,427125.364457625,427125.384011125,19.553500,0.091958,0.278000,19.796000,20.074000,PASS
measure,33,CEEC,0,C,1,344,4,1,427125.384475625,427125.400287875,15.812250,0.067833,0.245000,16.067000,16.312000,PASS
measure,33,CEEC,1,E,1,344,4,1,427125.400880667,427125.420555917,19.675250,0.090500,0.276000,19.949000,20.225000,PASS
measure,33,CEEC,2,E,2,344,4,1,427125.421173250,427125.440480500,19.307250,0.128292,0.281000,19.615000,19.896000,PASS
measure,33,CEEC,3,C,2,344,4,1,427125.440999625,427125.457069500,16.069875,0.083750,0.233000,16.331000,16.564000,PASS
measure,34,ECCE,0,E,1,344,4,1,427125.457615125,427125.476795625,19.180500,0.089333,0.259000,19.452000,19.711000,PASS
measure,34,ECCE,1,C,1,344,4,1,427125.477359875,427125.493321167,15.961292,0.102375,0.256000,16.242000,16.498000,PASS
measure,34,ECCE,2,C,2,344,4,1,427125.493917125,427125.509649167,15.732042,0.137000,0.255000,16.076000,16.331000,PASS
measure,34,ECCE,3,E,2,344,4,1,427125.510244125,427125.529692250,19.448125,0.104125,0.282000,19.717000,19.999000,PASS
measure,35,CEEC,0,C,1,344,4,1,427125.530237750,427125.545968625,15.730875,0.102000,0.259000,16.024000,16.283000,PASS
measure,35,CEEC,1,E,1,344,4,1,427125.546566042,427125.566027000,19.460958,0.103500,0.282000,19.743000,20.025000,PASS
measure,35,CEEC,2,E,2,344,4,1,427125.566639375,427125.585815000,19.175625,0.135750,0.283000,19.492000,19.775000,PASS
measure,35,CEEC,3,C,2,344,4,1,427125.586370000,427125.602380875,16.010875,0.101375,0.254000,16.293000,16.547000,PASS
measure,36,ECCE,0,E,1,344,4,1,427125.602993917,427125.622178875,19.184958,0.110250,0.293000,19.478000,19.771000,PASS
measure,36,ECCE,1,C,1,344,4,1,427125.622735667,427125.638716000,15.980333,0.101583,0.259000,16.257000,16.516000,PASS
measure,36,ECCE,2,C,2,344,4,1,427125.639297625,427125.655039125,15.741500,0.136500,0.255000,16.053000,16.308000,PASS
measure,36,ECCE,3,E,2,344,4,1,427125.655645042,427125.675129625,19.484583,0.102750,0.286000,19.788000,20.074000,PASS
measure,37,CEEC,0,C,1,344,4,1,427125.675695375,427125.691497542,15.802167,0.078333,0.251000,16.067000,16.318000,PASS
measure,37,CEEC,1,E,1,344,4,1,427125.691964667,427125.711392125,19.427458,0.059000,0.268000,19.654000,19.922000,PASS
measure,37,CEEC,2,E,2,344,4,1,427125.711925417,427125.731557750,19.632333,0.082167,0.266000,19.859000,20.125000,PASS
measure,37,CEEC,3,C,2,344,4,1,427125.732064375,427125.747905125,15.840750,0.070333,0.234000,16.096000,16.330000,PASS
measure,38,ECCE,0,E,1,344,4,1,427125.748432500,427125.768025625,19.593125,0.068208,0.263000,19.831000,20.094000,PASS
measure,38,ECCE,1,C,1,344,4,1,427125.768507042,427125.784280250,15.773208,0.070375,0.230000,16.013000,16.243000,PASS
measure,38,ECCE,2,C,2,344,4,1,427125.784813042,427125.800871750,16.058708,0.097250,0.234000,16.331000,16.565000,PASS
measure,38,ECCE,3,E,2,344,4,1,427125.801347375,427125.820623000,19.275625,0.060083,0.259000,19.458000,19.717000,PASS
measure,39,CEEC,0,C,1,344,4,1,427125.821092375,427125.837057542,15.965167,0.093792,0.210000,16.196000,16.406000,PASS
measure,39,CEEC,1,E,1,344,4,1,427125.837570625,427125.856740250,19.169625,0.102875,0.247000,19.420000,19.667000,PASS
measure,39,CEEC,2,E,2,344,4,1,427125.857273167,427125.876688375,19.415208,0.130125,0.252000,19.709000,19.961000,PASS
measure,39,CEEC,3,C,2,344,4,1,427125.877261875,427125.893020000,15.758125,0.100625,0.256000,16.082000,16.338000,PASS
measure,40,ECCE,0,E,1,344,4,1,427125.893617125,427125.913013500,19.396375,0.101083,0.280000,19.678000,19.958000,PASS
measure,40,ECCE,1,C,1,344,4,1,427125.913570417,427125.929296042,15.725625,0.104250,0.259000,16.015000,16.274000,PASS
measure,40,ECCE,2,C,2,344,4,1,427125.929892000,427125.945847875,15.955875,0.139625,0.257000,16.263000,16.520000,PASS
measure,40,ECCE,3,E,2,344,4,1,427125.946423167,427125.965602500,19.179333,0.103917,0.283000,19.462000,19.745000,PASS
measure,41,CEEC,0,C,1,344,4,1,427125.966159000,427125.982136375,15.977375,0.100875,0.257000,16.255000,16.512000,PASS
measure,41,CEEC,1,E,1,344,4,1,427125.982719500,427126.001901417,19.181917,0.103708,0.286000,19.475000,19.761000,PASS
measure,41,CEEC,2,E,2,344,4,1,427126.002517250,427126.021946542,19.429292,0.137625,0.282000,19.733000,20.015000,PASS
measure,41,CEEC,3,C,2,344,4,1,427126.022492500,427126.038213167,15.720667,0.102125,0.255000,15.978000,16.233000,PASS
measure,42,ECCE,0,E,1,344,4,1,427126.038713875,427126.058139417,19.425542,0.101375,0.236000,19.693000,19.929000,PASS
measure,42,ECCE,1,C,1,344,4,1,427126.058682792,427126.074482125,15.799333,0.102250,0.255000,16.075000,16.330000,PASS
measure,42,ECCE,2,C,2,344,4,1,427126.075071125,427126.091040042,15.968917,0.137375,0.257000,16.281000,16.538000,PASS
measure,42,ECCE,3,E,2,344,4,1,427126.091616000,427126.110809792,19.193792,0.102750,0.284000,19.447000,19.731000,PASS
measure,43,CEEC,0,C,1,344,4,1,427126.111283042,427126.127252375,15.969333,0.103375,0.212000,16.243000,16.455000,PASS
measure,43,CEEC,1,E,1,344,4,1,427126.127824292,427126.147020750,19.196458,0.102792,0.285000,19.519000,19.804000,PASS
measure,43,CEEC,2,E,2,344,4,1,427126.147662750,427126.167090625,19.427875,0.134750,0.263000,19.712000,19.975000,PASS
measure,43,CEEC,3,C,2,344,4,1,427126.167565542,427126.183397750,15.832208,0.101625,0.211000,16.088000,16.299000,PASS
measure,44,ECCE,0,E,1,344,4,1,427126.183941917,427126.203275292,19.333375,0.096500,0.283000,19.603000,19.886000,PASS
measure,44,ECCE,1,C,1,344,4,1,427126.203826125,427126.219673667,15.847542,0.102500,0.259000,16.107000,16.366000,PASS
measure,44,ECCE,2,C,2,344,4,1,427126.220240917,427126.236084042,15.843125,0.136750,0.257000,16.149000,16.406000,PASS
measure,44,ECCE,3,E,2,344,4,1,427126.236661625,427126.256115667,19.454042,0.105625,0.284000,19.716000,20.000000,PASS
measure,45,CEEC,0,C,1,344,4,1,427126.256639750,427126.272364250,15.724500,0.101042,0.258000,15.969000,16.227000,PASS
measure,45,CEEC,1,E,1,344,4,1,427126.272874500,427126.292263000,19.388500,0.103000,0.250000,19.645000,19.895000,PASS
measure,45,CEEC,2,E,2,344,4,1,427126.292880917,427126.312020417,19.139500,0.140500,0.282000,19.479000,19.761000,PASS
measure,45,CEEC,3,C,2,344,4,1,427126.312576125,427126.328582167,16.006042,0.102000,0.257000,16.273000,16.530000,PASS
measure,46,ECCE,0,E,1,344,4,1,427126.329172917,427126.348283375,19.110458,0.106292,0.289000,19.390000,19.679000,PASS
measure,46,ECCE,1,C,1,344,4,1,427126.348872750,427126.364777250,15.904500,0.134500,0.260000,16.224000,16.484000,PASS
measure,46,ECCE,2,C,2,344,4,1,427126.365369292,427126.381088000,15.718708,0.137167,0.255000,16.050000,16.305000,PASS
measure,46,ECCE,3,E,2,344,4,1,427126.381684250,427126.401046750,19.362500,0.097625,0.283000,19.651000,19.934000,PASS
measure,47,CEEC,0,C,1,344,4,1,427126.401609542,427126.417317625,15.708083,0.100750,0.257000,15.967000,16.224000,PASS
measure,47,CEEC,1,E,1,344,4,1,427126.417824792,427126.437200750,19.375958,0.100875,0.241000,19.650000,19.891000,PASS
measure,47,CEEC,2,E,2,344,4,1,427126.437815625,427126.456966750,19.151125,0.138000,0.284000,19.454000,19.738000,PASS
measure,47,CEEC,3,C,2,344,4,1,427126.457467000,427126.473397750,15.930750,0.102375,0.208000,16.233000,16.441000,PASS
measure,48,ECCE,0,E,1,344,4,1,427126.473984292,427126.493107375,19.123083,0.102708,0.270000,19.407000,19.677000,PASS
measure,48,ECCE,1,C,1,344,4,1,427126.493670125,427126.509579375,15.909250,0.100625,0.254000,16.192000,16.446000,PASS
