phase,block,schedule,slot,arm,occurrence,dispatches,status,completed,gpu_start_s,gpu_end_s,gpu_ms,kernel_ms,encode_ms,commit_wait_ms,wall_ms,result
prime,-2,EC,0,E,1,344,4,1,427122.577955167,427122.606795542,28.840375,1.192875,0.580000,30.651000,31.231000,PASS
prime,-1,EC,1,C,1,344,4,1,427122.608164625,427122.623924875,15.760250,0.714458,0.391000,16.667000,17.058000,PASS
warmup,0,ECCE,0,E,1,344,4,1,427122.627267042,427122.646516667,19.249625,0.060625,0.309000,19.512000,19.821000,PASS
warmup,0,ECCE,1,C,1,344,4,1,427122.647157875,427122.663150417,15.992542,0.103750,0.321000,16.278000,16.599000,PASS
warmup,0,ECCE,2,C,2,344,4,1,427122.663813375,427122.679621625,15.808250,0.125625,0.321000,16.131000,16.452000,PASS
warmup,0,ECCE,3,E,2,344,4,1,427122.680381625,427122.699753875,19.372250,0.127833,0.395000,19.691000,20.086000,PASS
warmup,1,CEEC,0,C,1,344,4,1,427122.700388125,427122.716125500,15.737375,0.114583,0.327000,16.032000,16.359000,PASS
warmup,1,CEEC,1,E,1,344,4,1,427122.716786375,427122.736194792,19.408417,0.120250,0.342000,19.693000,20.035000,PASS
warmup,1,CEEC,2,E,2,344,4,1,427122.736807125,427122.755990125,19.183000,0.134667,0.285000,19.497000,19.782000,PASS
warmup,1,CEEC,3,C,2,344,4,1,427122.756557042,427122.772525250,15.968208,0.099333,0.268000,16.242000,16.510000,PASS
warmup,2,ECCE,0,E,1,344,4,1,427122.773150042,427122.792323167,19.173125,0.106833,0.282000,19.504000,19.786000,PASS
warmup,2,ECCE,1,C,1,344,4,1,427122.792881250,427122.808852042,15.970792,0.100167,0.255000,16.246000,16.501000,PASS
warmup,2,ECCE,2,C,2,344,4,1,427122.809432667,427122.825171375,15.738708,0.138125,0.255000,16.051000,16.306000,PASS
warmup,2,ECCE,3,E,2,344,4,1,427122.825749750,427122.845166125,19.416375,0.100000,0.283000,19.688000,19.971000,PASS
warmup,3,CEEC,0,C,1,344,4,1,427122.845754167,427122.861491375,15.737208,0.101125,0.256000,16.054000,16.310000,PASS
warmup,3,CEEC,1,E,1,344,4,1,427122.862065250,427122.881491750,19.426500,0.102208,0.284000,19.702000,19.986000,PASS
warmup,3,CEEC,2,E,2,344,4,1,427122.882116792,427122.901244500,19.127708,0.142500,0.284000,19.445000,19.729000,PASS
warmup,3,CEEC,3,C,2,344,4,1,427122.901804250,427122.917754792,15.950542,0.103375,0.257000,16.233000,16.490000,PASS
measure,0,ECCE,0,E,1,344,4,1,427122.989266042,427123.009155292,19.889250,0.068250,0.259000,20.481000,20.740000,PASS
measure,0,ECCE,1,C,1,344,4,1,427123.009694167,427123.025525417,15.831250,0.097125,0.249000,16.101000,16.350000,PASS
measure,0,ECCE,2,C,2,344,4,1,427123.026113750,427123.041844750,15.731000,0.134708,0.257000,16.095000,16.352000,PASS
measure,0,ECCE,3,E,2,344,4,1,427123.042449000,427123.061842000,19.393000,0.101583,0.260000,19.663000,19.923000,PASS
measure,1,CEEC,0,C,1,344,4,1,427123.062414625,427123.078154875,15.740250,0.100625,0.259000,16.053000,16.312000,PASS
measure,1,CEEC,1,E,1,344,4,1,427123.078731292,427123.098087667,19.356375,0.096500,0.285000,19.584000,19.869000,PASS
measure,1,CEEC,2,E,2,344,4,1,427123.098638542,427123.118009375,19.370833,0.124917,0.261000,19.666000,19.927000,PASS
