layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
39,5,f16,16384,24,85639191840,786432,matmul_f16,exact_smallm,12,32,8,0,0
39,6,f16,4096,256,85609552960,2097152,matmul_f16,exact_smallm,128,32,8,0,0
40,0,f16,16384,24,85820779680,786432,matmul_f16,exact_smallm,12,32,8,0,0
40,1,q8_0,4096,1024,85751801920,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
40,2,q8_0,4096,512,85678270528,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
40,3,q8_0,1024,32768,85756258368,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
40,4,q8_0,8192,4096,85716150336,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85680498752,35651584
40,5,f16,16384,24,85821566240,786432,matmul_f16,exact_smallm,12,32,8,0,0
40,6,f16,4096,256,85791927360,2097152,matmul_f16,exact_smallm,128,32,8,0,0
41,0,f16,16384,24,85973389984,786432,matmul_f16,exact_smallm,12,32,8,0,0
41,1,q8_0,4096,1024,85904412224,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
41,2,q8_0,4096,512,85830880832,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
41,3,q8_0,1024,32768,85908868672,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
41,4,q8_0,8192,4096,85868760640,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85833109056,35651584
41,5,f16,16384,24,85974176544,786432,matmul_f16,exact_smallm,12,32,8,0,0
41,6,f16,4096,256,85944537664,2097152,matmul_f16,exact_smallm,128,32,8,0,0
42,0,f16,16384,24,86155764384,786432,matmul_f16,exact_smallm,12,32,8,0,0
42,1,q8_0,4096,1024,86086786624,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
42,2,q8_0,4096,512,86013255232,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
42,3,q8_0,1024,32768,86091243072,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
42,4,q8_0,8192,4096,86051135040,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,86015483456,35651584
42,5,f16,16384,24,86156550944,786432,matmul_f16,exact_smallm,12,32,8,0,0
42,6,f16,4096,256,86126912064,2097152,matmul_f16,exact_smallm,128,32,8,0,0
