layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
9,1,q8_0,4096,1024,80544656960,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
9,2,q8_0,4096,512,80471125568,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
9,3,q8_0,1024,32768,80549113408,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
9,4,q8_0,8192,4096,80509005376,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,80473353792,35651584
9,5,f16,16384,24,80614421280,786432,matmul_f16,exact_smallm,12,32,8,0,0
9,6,f16,4096,256,80584782400,2097152,matmul_f16,exact_smallm,128,32,8,0,0
10,0,f16,16384,24,80796009120,786432,matmul_f16,exact_smallm,12,32,8,0,0
10,1,q8_0,4096,1024,80727031360,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
10,2,q8_0,4096,512,80653499968,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
10,3,q8_0,1024,32768,80731487808,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
10,4,q8_0,8192,4096,80691379776,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,80655728192,35651584
10,5,f16,16384,24,80796795680,786432,matmul_f16,exact_smallm,12,32,8,0,0
10,6,f16,4096,256,80767156800,2097152,matmul_f16,exact_smallm,128,32,8,0,0
11,0,f16,16384,24,80948619424,786432,matmul_f16,exact_smallm,12,32,8,0,0
11,1,q8_0,4096,1024,80879641664,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
11,2,q8_0,4096,512,80806110272,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
11,3,q8_0,1024,32768,80884098112,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
11,4,q8_0,8192,4096,80843990080,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,80808338496,35651584
11,5,f16,16384,24,80949405984,786432,matmul_f16,exact_smallm,12,32,8,0,0
11,6,f16,4096,256,80919767104,2097152,matmul_f16,exact_smallm,128,32,8,0,0
12,0,f16,16384,24,81130993824,786432,matmul_f16,exact_smallm,12,32,8,0,0
12,1,q8_0,4096,1024,81062016064,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
12,2,q8_0,4096,512,80988484672,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
12,3,q8_0,1024,32768,81066472512,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
12,4,q8_0,8192,4096,81026364480,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,80990712896,35651584
12,5,f16,16384,24,81131780384,786432,matmul_f16,exact_smallm,12,32,8,0,0
12,6,f16,4096,256,81102141504,2097152,matmul_f16,exact_smallm,128,32,8,0,0
13,0,f16,16384,24,81283604128,786432,matmul_f16,exact_smallm,12,32,8,0,0
13,1,q8_0,4096,1024,81214626368,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
13,2,q8_0,4096,512,81141094976,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
13,3,q8_0,1024,32768,81219082816,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
13,4,q8_0,8192,4096,81178974784,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81143323200,35651584
13,5,f16,16384,24,81284390688,786432,matmul_f16,exact_smallm,12,32,8,0,0
13,6,f16,4096,256,81254751808,2097152,matmul_f16,exact_smallm,128,32,8,0,0
14,0,f16,16384,24,81465978528,786432,matmul_f16,exact_smallm,12,32,8,0,0
14,1,q8_0,4096,1024,81397000768,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
14,2,q8_0,4096,512,81323469376,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
14,3,q8_0,1024,32768,81401457216,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
14,4,q8_0,8192,4096,81361349184,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81325697600,35651584
14,5,f16,16384,24,81466765088,786432,matmul_f16,exact_smallm,12,32,8,0,0
14,6,f16,4096,256,81437126208,2097152,matmul_f16,exact_smallm,128,32,8,0,0
15,0,f16,16384,24,81618588832,786432,matmul_f16,exact_smallm,12,32,8,0,0
15,1,q8_0,4096,1024,81549611072,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
15,2,q8_0,4096,512,81476079680,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
15,3,q8_0,1024,32768,81554067520,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
15,4,q8_0,8192,4096,81513959488,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81478307904,35651584
15,5,f16,16384,24,81619375392,786432,matmul_f16,exact_smallm,12,32,8,0,0
15,6,f16,4096,256,81589736512,2097152,matmul_f16,exact_smallm,128,32,8,0,0
16,0,f16,16384,24,81800963232,786432,matmul_f16,exact_smallm,12,32,8,0,0
16,1,q8_0,4096,1024,81731985472,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
16,2,q8_0,4096,512,81658454080,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
16,3,q8_0,1024,32768,81736441920,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
16,4,q8_0,8192,4096,81696333888,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81660682304,35651584
16,5,f16,16384,24,81801749792,786432,matmul_f16,exact_smallm,12,32,8,0,0
16,6,f16,4096,256,81772110912,2097152,matmul_f16,exact_smallm,128,32,8,0,0
17,0,f16,16384,24,81953573536,786432,matmul_f16,exact_smallm,12,32,8,0,0
17,1,q8_0,4096,1024,81884595776,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
17,2,q8_0,4096,512,81811064384,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
17,3,q8_0,1024,32768,81889052224,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
17,4,q8_0,8192,4096,81848944192,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81813292608,35651584
17,5,f16,16384,24,81954360096,786432,matmul_f16,exact_smallm,12,32,8,0,0
17,6,f16,4096,256,81924721216,2097152,matmul_f16,exact_smallm,128,32,8,0,0
18,0,f16,16384,24,82135947936,786432,matmul_f16,exact_smallm,12,32,8,0,0
18,1,q8_0,4096,1024,82066970176,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
18,2,q8_0,4096,512,81993438784,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
