layer,site,format,corpus,m,k,n,input_hash_ds4_64,candidate_dispatches,grid_y,bit_diffs,first_index,first_ref_bits,first_got_bits,max_abs,result
0,1,q8_0,C4,6,4096,1024,e725a82e9783c012,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C0,7,4096,1024,89f4bbd55d720383,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C1,7,4096,1024,8a1e5e5f2f1ad85a,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C2,7,4096,1024,38cba9f3d15ed87c,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C3,7,4096,1024,faf0b813d9ee1d4d,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C4,7,4096,1024,a56d33ae4c8c775a,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C0,8,4096,1024,bc91ad0b35b50383,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C1,8,4096,1024,b049445697c9a5c3,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C2,8,4096,1024,7efc99aea35888c7,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C3,8,4096,1024,0bd4b5355ae82965,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C4,8,4096,1024,d8f79ecae2861f1f,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,2,4096,512,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C1,2,4096,512,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C2,2,4096,512,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C3,2,4096,512,e1ff3ff7b4993b98,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C4,2,4096,512,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,3,4096,512,f361b91bfc660383,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C1,3,4096,512,36aaaa69a328e07a,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C2,3,4096,512,e36dde151415c0df,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C3,3,4096,512,e32b4b3e3b6ffdcd,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C4,3,4096,512,e34480993503b8a3,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,4,4096,512,0e5df645d4a90383,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C1,4,4096,512,cb611474e6bf1763,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C2,4,4096,512,a668df01d5618865,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C3,4,4096,512,3dccf7e0f94ef57f,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C4,4,4096,512,04144d081eb41f66,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,5,4096,512,649de072acec0383,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C1,5,4096,512,7d3627c9d35592aa,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C2,5,4096,512,d13581044f3dfab0,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C3,5,4096,512,1ff7cebae2137f3c,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C4,5,4096,512,9ca02a032bb24fc6,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,6,4096,512,a7e477a2852f0383,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C1,6,4096,512,a8f5fc63ca83b793,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C2,6,4096,512,2e2a6a2802a71ed0,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C3,6,4096,512,80a0be95c34ab3c1,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C4,6,4096,512,e725a82e9783c012,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C0,7,4096,512,89f4bbd55d720383,1,1,0,-1,00000000,00000000,0,PASS
